,Original,Gaps,scipy-slinear,pandas-slinear,scipy-linear,"pandas-spline, order 1"
-10,0,0.0,0.0,0.0,0.0,0.0
-9,0,,0.0,0.0,0.0,-0.07281176724114324
-8,0,0.0,0.0,0.0,0.0,0.0
-7,0,0.0,0.0,0.0,0.0,0.0
-6,0,,0.0,0.0,0.0,0.10036092300156721
-5,0,0.0,0.0,0.0,0.0,0.0
-4,0,0.0,0.0,0.0,0.0,0.0
-3,0,,1.6666666666666665,1.6666666666666665,1.6666666666666667,2.2356456891164758
-2,2,,3.333333333333333,3.333333333333333,3.3333333333333335,3.8235067233216453
-1,5,5.0,5.0,5.0,5.0,5.0
0,10,10.0,10.0,10.0,10.0,10.0
1,5,,6.0,6.0,6.0,4.426060764165051
2,2,2.0,2.0,2.0,2.0,2.0
3,0,0.0,0.0,0.0,0.0,0.0
4,0,,0.0,0.0,0.0,1.2040549743211328
5,0,0.0,0.0,0.0,0.0,0.0
6,0,0.0,0.0,0.0,0.0,0.0
7,0,0.0,0.0,0.0,0.0,0.0
8,0,,0.0,0.0,0.0,-0.09362055023283467
9,0,0.0,0.0,0.0,0.0,0.0
10,0,0.0,0.0,0.0,0.0,0.0
